Periodo,Mes,Codigo_departamento,Departamento,Codigo_municipio,Municipio,Nombre_comercial,Bandera,Direccion,Producto,Precio,Estado,Dir2,Full_Address,Coords
2022,2,11,BOGOTA D.C.,11001,BOGOTA  D.C.,ESTACION DE SERVICIO VILLA ALSACIA,BIOMAX,CALLE 12 BIS No. 71G-53,GASOLINA EXTRA OXIGENADA,17100,A,CALLE 12 BIS No. 71G-53,"CALLE 12 BIS No. 71G-53, Bogota  d.c., Colombia","(4.6449063, -74.1308423)"
2022,2,11,BOGOTA D.C.,11001,BOGOTA  D.C.,ESTACION DE SERVICIO VILLA ALSACIA,BIOMAX,CALLE 12 BIS No. 71G-53,BIODIESEL EXTRA,9170,A,CALLE 12 BIS No. 71G-53,"CALLE 12 BIS No. 71G-53, Bogota  d.c., Colombia","(4.6449063, -74.1308423)"
2022,2,11,BOGOTA D.C.,11001,BOGOTA  D.C.,ESTACION DE SERVICIO VILLA ALSACIA,BIOMAX,CALLE 12 BIS No. 71G-53,GASOLINA CORRIENTE OXIGENADA,9460,A,CALLE 12 BIS No. 71G-53,"CALLE 12 BIS No. 71G-53, Bogota  d.c., Colombia","(4.6449063, -74.1308423)"
2022,2,11,BOGOTA D.C.,11001,BOGOTA  D.C.,ESTACION DE SERVICIO VILLA ALSACIA,BIOMAX,CALLE 12 BIS No. 71G-53,BIODIESEL EXTRA,9170,A,CALLE 12 BIS No. 71G-53,"CALLE 12 BIS No. 71G-53, Bogota  d.c., Colombia","(4.6449063, -74.1308423)"
2022,2,11,BOGOTA D.C.,11001,BOGOTA  D.C.,ESTACION DE SERVICIO VILLA ALSACIA,BIOMAX,CALLE 12 BIS No. 71G-53,GASOLINA EXTRA OXIGENADA,16700,A,CALLE 12 BIS No. 71G-53,"CALLE 12 BIS No. 71G-53, Bogota  d.c., Colombia","(4.6449063, -74.1308423)"
2022,2,11,BOGOTA D.C.,11001,BOGOTA  D.C.,ESTACION DE SERVICIO VILLA ALSACIA,BIOMAX,CALLE 12 BIS No. 71G-53,GASOLINA CORRIENTE OXIGENADA,9460,A,CALLE 12 BIS No. 71G-53,"CALLE 12 BIS No. 71G-53, Bogota  d.c., Colombia","(4.6449063, -74.1308423)"
2022,2,11,BOGOTA D.C.,11001,BOGOTA  D.C.,EDS VIA AL LLANO,BIOMAX,CALLE 84 SUR No 3A - 41 ESTE,BIODIESEL EXTRA,8740,A,CALLE 84 SUR No 3A - 41 ESTE,"CALLE 84 SUR No 3A - 41 ESTE, Bogota  d.c., Colombia","(4.5066651, -74.1091542)"
2022,2,11,BOGOTA D.C.,11001,BOGOTA  D.C.,EDS VIA AL LLANO,BIOMAX,CALLE 84 SUR No 3A - 41 ESTE,GASOLINA CORRIENTE OXIGENADA,9220,A,CALLE 84 SUR No 3A - 41 ESTE,"CALLE 84 SUR No 3A - 41 ESTE, Bogota  d.c., Colombia","(4.5066651, -74.1091542)"
2022,2,11,BOGOTA D.C.,11001,BOGOTA  D.C.,SERVICENTRO PRIMAX EL PORVENIR,MOBIL,CALLE 63 SUR No. 70C - 25,GASOLINA EXTRA OXIGENADA,15461,A,CALLE 63 SUR No. 70C - 25,"CALLE 63 SUR No. 70C - 25, Bogota  d.c., Colombia","(4.569132, -74.1485587)"
2022,2,11,BOGOTA D.C.,11001,BOGOTA  D.C.,SERVICENTRO PRIMAX EL PORVENIR,MOBIL,CALLE 63 SUR No. 70C - 25,BIODIESEL EXTRA,9052,A,CALLE 63 SUR No. 70C - 25,"CALLE 63 SUR No. 70C - 25, Bogota  d.c., Colombia","(4.569132, -74.1485587)"
2022,2,11,BOGOTA D.C.,11001,BOGOTA  D.C.,SERVICENTRO PRIMAX EL PORVENIR,MOBIL,CALLE 63 SUR No. 70C - 25,GASOLINA CORRIENTE OXIGENADA,9272,A,CALLE 63 SUR No. 70C - 25,"CALLE 63 SUR No. 70C - 25, Bogota  d.c., Colombia","(4.569132, -74.1485587)"
